,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
879,భాష,కె. విశ్వనాథ్,శోభన్ బాబు,హాస్యం,1941-01-01,1978,1
880,కరుణామయుడు,ఎ. భీంసింగ్,విజయచందర్,కాదు_నిర్దిష్ట,1941-01-01,1978,1
881,తమాషా రుద్రయ్య,దాసరి నారాయణరావు,కృష్ణం రాజు,చర్య,1941-01-01,1978,1
882,KD నం:1,కె. రాఘవేంద్రరావు,ఎన్.టి.రామారావు,చర్య,1941-01-01,1978,1
883,నా చెంప n. h,v. హనుమాన్ ప్రసాద్,మురళీ మోహన్,చర్య,1941-01-01,1978,1
884,కొండూర,శ్యామ్ బెనగల్,అనంత్ నాగ్,కాదు_నిర్దిష్ట,1941-01-01,1978,1
885,కుమార రాజా,పి.సాంబశివరావు,కృష్ణుడు,నాటకం,1941-01-01,1978,1
886,లాయర్ విశ్వనాథ్,S. D. లాల్,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1978,1
887,మల్లెపూవు,v. ఏడుపు మధుసూధన్,శోభన్ బాబు,శృంగారం,1941-01-01,1978,1
888,మన వూరి పాండవులు,బాపు,చిరంజీవి,చర్య,1941-01-01,1978,1
889,మంచి బాబాయ్,టి. కృష్ణ,శోభన్ బాబు,నాటకం,1941-01-01,1978,1
890,మరో చరిత్ర,కే. బాలచందర్,కమల్ హాసన్,శృంగారం,1941-01-01,1978,1
891,మేలు కొలుప్,బి. v. సమర్పణ,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1978,1
892,muggle muggle,S. D. లాల్,కృష్ణుడు,నాటకం,1941-01-01,1978,1
893,నాలాగ ఎందరో,ఈరంకి శర్మ,"హేమసుందర్, జానకి, లక్ష్మీకాంత్, పి. ఎల్. నారాయణ",నాటకం,1941-01-01,1978,1
894,నాయుడు బావ,పి. చంద్రశేఖర రెడ్డి,శోభన్ బాబు,శృంగారం,1941-01-01,1978,1
895,నిండు మనిషి,S. D. లాల్,శోభన్ బాబు,నాటకం,1941-01-01,1978,1
896,ఒక ఊరి కథ,మృణాల్ సేన్,మమతా శంకర్,నాటకం,1941-01-01,1978,1
897,పదహారేళ్ళ వయసు,కె. రాఘవేంద్రరావు,శ్రీదేవి,శృంగారం,1941-01-01,1978,1
898,పటన్వాసన్,పి.చంద్రశేఖర్ రెడ్డి,కృష్ణుడు,నాటకం,1941-01-01,1978,1
899,పొట్టేలు పున్నమ్మ,ఆర్. త్యాగరాజన్,మోహన్ బాబు,నాటకం,1941-01-01,1978,1
900,ప్రాణం ఖరీదు,కె. వాసు,జయసుధ,చర్య,1941-01-01,1978,1
901,ప్రేమ చేసిన పెళ్ళి,విజయ నిర్మల,చంద్ర మోహన్,శృంగారం,1941-01-01,1978,1
903,రాజపుత్ర రహస్యం,S. D. లాల్,ఎన్.టి.రామారావు,ఫాంటసీ/సాహసం,1941-01-01,1978,1
904,రామ కృష్ణులు,v. బి. రాజేంద్ర ప్రసాద్,అక్కినేని నాగేశ్వర రావు,యాక్షన్ డ్రామా,1941-01-01,1978,1
905,రామ్‌చిల్కా,సింగీతం శ్రీనివాసరావు,చంద్ర మోహన్,శృంగారం,1941-01-01,1978,1
906,రిక్షా రాజీ,డి. ఎస్. ప్రకాశరావు,జయచిత్ర,నాటకం,1941-01-01,1978,1
907,రౌడీ రంగమ్మ,విజయ నిర్మల,విజయ నిర్మల,నాటకం,1941-01-01,1978,1
908,సాహసవంతుడు,కె. బాపయ్య,ఎన్.టి.రామారావు,చర్య,1941-01-01,1978,1
910,సీతామాలక్ష్మి,కె. విశ్వనాథ్,చంద్ర మోహన్,నాటకం,1941-01-01,1978,1
911,సింహా బాలుడు,కె. రాఘవేంద్రరావు,ఎన్.టి.రామారావు,చర్య,1941-01-01,1978,1
912,సింహగర్జన,కొమ్మినేని,కృష్ణుడు,చర్య,1941-01-01,1978,1
913,శివరంజని,దాసరి నారాయణరావు,జయసుధ,నాటకం,1941-01-01,1978,1
914,సొమ్మొకడిది సోకొక్కడిది,సింగీతం శ్రీనివాస రావు,కమల్ హాసన్,కాదు_నిర్దిష్ట,1941-01-01,1978,1
915,శ్రీ రామ పట్టాభిషేకం,ఎన్.టి.రామారావు,ఎన్.టి.రామారావు,పౌరాణిక,1941-01-01,1978,1
916,శ్రీరామ రక్ష,తాతినేని రామారావు,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1978,1
917,శ్రీ రేణుకాదేవి మహత్యం,C. S. రావు,బి. సరోజ్ దేవి,భక్తిప్రపత్తులు,1941-01-01,1978,1
918,సూర్య చంద్రులు,V. C. గుహనాథన్,చంద్ర మోహన్,నాటకం,1941-01-01,1978,1
919,వయసు పిలిచింది,ఎస్. v. శ్రీధర్,కమల్ హాసన్,శృంగారం,1941-01-01,1978,1
920,విచిత్ర జీవితం,v. ఏడుపు మధుసూధన్,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1978,1
921,యుగ పురుషుడు,కె. బాపయ్య,ఎన్.టి.రామారావు,చర్య,1941-01-01,1978,1
922,అక్బర్ సెలిమ్ నర్గల్,ఎన్.టి.రామారావు,ఎన్.టి.రామారావు,పౌరాణిక,1941-01-01,1979,1
923,అందదు ఆగడు,S. D. లాల్,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1979,1
924,అందమైన అనుభవం,కె. బాలచందర్,రజనీకాంత్,రాజన్ నాగేంద్ర,1941-01-01,1979,1
925,అండమాన్ అమ్మాయి,v. ఏడుపు మధుసూధన్,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1979,1
926,అమ్మ ఒక దేవాలయం,ఆర్. త్యాగరాజన్,రజనీకాంత్,సాహసం,1941-01-01,1979,1
927,బంగారు చెల్లెలు,బి. సుబ్బారావు,శోభన్ బాబు,a. v. మహదేవన్,1941-01-01,1979,1
928,బుర్రిపాలెం బులోడు,భీరామ్ మస్తాన్ రావు,కృష్ణుడు,చక్రవర్తి,1941-01-01,1979,1
929,ధర్మ యుద్ధం,R. C. శక్తి,రజనీకాంత్,ఇళయరాజా,1941-01-01,1979,1
930,డ్రైవర్ రాముడు,కె. రాఘవేంద్రరావు,ఎన్.టి.రామారావు,చక్రవర్తి,1941-01-01,1979,1
931,గోరింటాకు,దాసరి నారాయణరావు,బబ్,a. v. మహదేవన్,1941-01-01,1979,1
932,గుప్పె మనస్,కె. బాలచందర్,శరత్ బాబు,M. S. విశ్వనాథన్,1941-01-01,1979,1
933,హేమ హేమీలు,విజయ నిర్మల,ANR,కాదు_నిర్దిష్ట,1941-01-01,1979,1
934,నేను నిన్ను ప్రేమిస్తున్నాను,వాయు నందన్ రావు,చిరంజీవి,సత్యం,1941-01-01,1979,1
935,కానీ అది అసాధ్యం,కె.ఎస్.ఆర్,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1979,1
936,ఇది కథ కాదు,కె. బాలచందర్,కమల్ హాసన్,M. S. విశ్వనాథన్,1941-01-01,1979,1
937,జూడగాడు,v. ఏడుపు మధుసూధన్,శోభన్ బాబు,చక్రవర్తి,1941-01-01,1979,1
938,కల్యాణి,దాసరి నారాయణరావు,జయసుధ,రమేష్ నాయుడు,1941-01-01,1979,1
939,కలియుగ మహాభారతం,v. హనుమాన్ ప్రసాద్,నరసింహరాజు,సత్యం,1941-01-01,1979,1
940,కార్తీక దీపం,లక్ష్మి దీపం,శోభన్ బాబు,సత్యం,1941-01-01,1979,1
941,కోరికేల్ గ్రోలరైట్,దాసరి నారాయణరావు,మురళీ మోహన్,సత్యం,1941-01-01,1979,1
942,కోతల రాయుడు,కె. వాసు,చిరంజీవి,చక్రవర్తి,1941-01-01,1979,1
943,కొత్త అల్లుడు,పి.సాంబశివరావు,కృష్ణుడు,a. v. మహదేవన్,1941-01-01,1979,1
944,కుక్క కాటుకు చెప్పు దెబ్బ,ఈరంకి శర్మ,చిరంజీవి,M. S. విశ్వనాథన్,1941-01-01,1979,1
945,మావారి మంచితనం,బి. ఎ. సుబ్బారావు,ఎన్టీఆర్,కాదు_నిర్దిష్ట,1941-01-01,1979,1
946,మండే గుండెలు,కె. బాపయ్య,"కృష్ణ,",a. v. మహదేవన్,1941-01-01,1979,1
947,ముద్దుల కొడుకు,v. బి. రాజేంద్ర ప్రసాద్,ANR,కాదు_నిర్దిష్ట,1941-01-01,1979,1
948,నా ఇల్లు నా వళ్ళు,చంద్ర రాజు,అత్తమామ బాబు,జ్. వ్. రాఘవులు,1941-01-01,1979,1
949,నాగనా సత్యం,యు.విశ్వేశరావు,"రాంప్రసాద్, కృష్ణవేణి",కాదు_నిర్దిష్ట,1941-01-01,1979,1
950,నీడ,దాసరి నారాయణరావు,రమేష్ బాబు,రమేష్ నాయుడు,1941-01-01,1979,1
951,నిమజ్జనం,B. S. నారాయణ,శారద,కాదు_నిర్దిష్ట,1941-01-01,1979,1
952,నిండు నూరేళ్ళు,కె. రాఘవేంద్రరావు,మోహన్ బాబు,చక్రవర్తి,1941-01-01,1979,1
954,పునాదిరాళ్ళు,రాజ్ కుమార్,చిరంజీవి,ప్రేమ్ జీ మనవాడు,1941-01-01,1979,1
955,రామ బాణం,జె. శూర రాధి,శోభన్ బాబు,సత్యం,1941-01-01,1979,1
956,రంగూన్ రౌడీ,దాసరి నారాయణరావు,కృష్ణం రాజు,జ్. వ్. రాఘవులు,1941-01-01,1979,1
957,సరుకునే రాముడా?,దాసరి నారాయణరావు,ANR,కాదు_నిర్దిష్ట,1941-01-01,1979,1
958,శ్రీ రామ బంటు,S. D. లాల్,చిరంజీవి,సత్యం,1941-01-01,1979,1
959,శ్రీ మద్విరాట పర్వం,ఎన్.టి.రామారావు,ఎన్.టి.రామారావు,సుసర్ల దక్షిణామూర్తి,1941-01-01,1979,1
960,శ్రీ తిరుపతి వెంకటేశ్వర కళ్యాణం,ఎన్.టి.రామారావు,"ఎన్టీఆర్,",కాదు_నిర్దిష్ట,1941-01-01,1979,1
961,శ్రీ వినాయక విజయము,కమలాకర కామేశ్వరరావు,ఉప్పలపాటి కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1979,1
962,శృంగార రాముడు,కె. శంకర్,ఎన్.టి.రామారావు,a. v. మహదేవన్,1941-01-01,1979,1
963,తాయారమ్మ బంగారయ్య,కొమ్మినేని శేషగిరిరావు,సౌకార్ జానకి,a. v. మహదేవన్,1941-01-01,1979,1
964,పులి,నందమూరి రమేష్,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1979,1
965,తూర్పు వెళ్లే రైలు,బాపు,"జ్యోతి,",కాదు_నిర్దిష్ట,1941-01-01,1979,1
966,వేటగాడు,కె. రాఘవేంద్రరావు,ఎన్.టి.రామారావు,చక్రవర్తి,1941-01-01,1979,1
967,యుగంధర్,కె.ఎస్.ఆర్,ఎన్.టి.రామారావు,ఇళయరాజా,1941-01-01,1979,1
968,ఆరని మంటలు,కె. వాసు,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
969,ఆడదు,రామారావు తాతినేని,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
970,ఏడాదీ గడప దాటితే,B. S. నారాయణ,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
971,అదృష్టవంతుడు,G. C. శేఖర్,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
972,అగ్ని సంస్కారం,c. v. ప్రభాకర్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
973,ఆలయం,డి. మధుసూదన,నగేష్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
974,అల్లుడు పట్టిన భరతం,కె. విశ్వనాథ్,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
975,బైబిల్,v. ఏడుపు మధుసూధన్,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
976,భలే కృష్ణుడు,కె. రాఘవేంద్రరావు,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
977,బుచ్చి బాబు,దాసరి నారాయణరావు,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
978,ఛాలెంజ్ రాముడు,T. L. V. ప్రసాద్,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
979,చండిపారియా,v. ఏడుపు మధుసూధన్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
980,చేసిన బాసలు,కె.ఎస్.ఆర్,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
981,చుట్టాలున్నారు జాగ్రత్త,బి. v. సమర్పణ,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
982,సర్కస్ రాముడు,దాసరి నారాయణరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
983,ధర్మ చక్రం,లక్ష్మి దీపం,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
984,గే దొంగ,కె. రాఘవేంద్రరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
985,గాంధార బానిసలు,సింగీతం శ్రీనివాసరావు,మోహన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
986,గయ్యాళి గంగమ్మ,బీరం మస్తాన్ రావు,సూర్యకాంతం,కాదు_నిర్దిష్ట,1941-01-01,1980,1
987,టీచర్,I.V. శశి,కమల్ హాసన్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
988,హరిచంద్రుడు,యు.విశ్వేశరావు,ప్రభాకర్ రెడ్డి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
989,జాతర,డి. పగడపు సత్యం,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
990,కాళీ,I.V. శశి,రజనీకాంత్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
991,కక్ష,V. C. గుహనాథన్,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
992,కలియుగం రావణాసురుడు,బాపు,"సూరపనేని శ్రీధర్,",కాదు_నిర్దిష్ట,1941-01-01,1980,1
993,కిలాడీ కృష్ణుడు,విజయ నిర్మల,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
994,కోడళ్ళు వస్తున్నారు జాగ్రత్త,కట్టా సుబ్బారావు,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
995,కొత్త జీవితాలు,భారతీరాజా,సుహాసిని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
996,కొత్తపేట రౌడీ,పి.సాంబశివరావు,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
997,సింగపూర్‌లో ప్రేమ,బేబీ,రంగనాథ్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
998,మా భూమి,గౌతమ్ ఘోస్,సాయి చంద్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
999,మహాలక్ష్మి,రాజచంద్ర,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1000,మనసు గొప్పది,పి.చంద్రశేఖర్ రెడ్డి,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1001,మాయదారి కృష్ణుడు,ఆర్. త్యాగరాజన్,రజనీకాంత్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1002,మొగుడు కావాలి,కట్టా సుబ్బారావు,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1003,మూడు ముళ్ల బంధం,ముత్యాల సుబ్బయ్య,శరత్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1004,మోసగాడు,కె. రాఘవేంద్రరావు,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1005,నకిలీ మనిషి,S. D. లాల్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1006,నాయకుడు వినాయకుడు,కె. ప్రత్యగాత్మ,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1007,పిల్ల జమీందార్,సింగీతం శ్రీనివాసరావు,అక్కినేని నాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1008,ప్రేమ కనుక,కె. రాఘవేంద్రరావు,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1009,ప్రేమ తరంగాలు,S. P. చిట్టిబాబు,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1010,పున్నమి నాడు,రాజశేఖర్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1011,రక్త బంధం,ఆలూరు రవి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1012,రామ్ రాబర్ట్ రహీమ్,విజయ నిర్మల,రజనీకాంత్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1013,రాముడు పరశురాముడు,M. S. గోపీనాథ్,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1014,రౌడీ రాముడు కొంటె కృష్ణుడు,కె. రాఘవేంద్రరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1015,శంకరాభరణం,కె. విశ్వనాథ్,జ్. వ్. సోమయాజులు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1016,చిన్న తండ్రి,లక్ష్మి దీపం,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1017,శారద రాముడు,కె. వాసు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1018,సర్దార్ పాపా రాయుడు,దాసరి నారాయణరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1019,సిరిమల్లె నవ్వింది,విజయ నిర్మల,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1020,సీతా రాములు,దాసరి నారాయణరావు,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1021,శ్రీవారి ముచ్చట్లు,దాసరి నారాయణరావు,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1022,శుభోదయం,కె. విశ్వనాథ్,చంద్ర మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1023,సూపర్మ్యాన్,v. ఏడుపు మధుసూధన్,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1024,తాతయ్య ప్రేమలీలలు,బి. v. సమర్పణ,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1025,తొలి కోడి కూసింది,కే. బాలచందర్,శరత్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1026,యముడు,అమృత,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1028,యువతరం కదిలింది,ధవళ సత్యం,మురళీ మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1029,వంశ వృక్షం,బాపు,అనిల్ కపూర్,కాదు_నిర్దిష్ట,1941-01-01,1980,1
1030,స్వావలంబన,T. L. V. ప్రసాద్,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1031,అడవి దొంగ,కె. రాఘవేంద్రరావు,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1032,అగ్ని పర్వతం,కె. రాఘవేంద్రరావు,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1033,అన్వేషణ,విఎంసి,కార్తీక్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1034,బాబాయి-అబ్బాయి,జంధ్యాల,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1035,బంగరు చిలకా,అనిల్ కుమార్,అర్జున్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1037,భార్యాభర్తల బంధం,v. బి. రాజేంద్ర ప్రసాద్,అక్కినేని నాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1038,బుల్లెట్,బాపు,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1039,చట్టంతో పోరాటం,కోవెలమూడి బాపయ్య,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1040,చిరంజీవి,C. V. రాజేంద్రన్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1041,దాంపత్యం,ఆ. కోదండరామి రెడ్డి,ANR,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1042,దర్జా దొంగ,మణివణ్ణన్,సుమన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1043,దేవాలయం,టి. కృష్ణ,బబ్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1044,దొంగ,ఆ. కోదండరామి రెడ్డి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1045,దొంగల వేటగాడు,కె. రాఘవేంద్రరావు,కమల్ హాసన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1046,ఇల్లాలే దేవత,T. L. V. ప్రసాద్,ANR,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1047,మద్యం,రవిరాజా పినిశెట్టి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1048,కత్తుల కొండయ్య,స్. బి. చక్రవర్తి,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1049,కొంగు మూడ,విజయ బాపినీడు,బబ్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1050,కొత్త పెళ్లి కూతురు,K. S. రామి రెడ్డి,చంద్ర మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1051,మా పల్లెలో గోపాలుడు,కోడి రామకృష్ణ,అర్జున్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1052,గొప్ప జ్ఞాని,ఎం. బాలయ్య,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1053,గొప్ప యుద్ధం,ఆ. కోదండరామి రెడ్డి,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1054,మహారాజు,విజయ బాపినీడు,బబ్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1055,మంత్ర దండం,కొమ్మినేని శేషగిరిరావు,కాటు లావో,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1056,మొగుడు పెళ్ళాలు,జంధ్యాల,నరేష్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1057,ముచ్చటగా ముగ్గురు,రేలంగి నరసింహా రావు,చంద్ర మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1058,న్యాయం మీరే చెప్పాలి,c. రామ్మోహన్ రావు,సుమన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1059,ఒక రాధా ఇద్దరు కృష్ణులు,ఆ. కోదండరామి రెడ్డి,కమల్ హాసన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1060,పచ్చి కాపురం,టి.రామారావు,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1061,పల్నాటి సింహం,ఆ. కోదండరామి రెడ్డి,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1062,పట్టాభిషేకం,కె. రాఘవేంద్రరావు,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1063,సంఘటన,టి. కృష్ణ,విజయశాంతి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1064,ప్రేమించు పెళ్లాడు,విఎంసి,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1065,పులి,రాజ్ భారత్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1066,రగిలే గుండెలు,ఆ. కోదండరామి రెడ్డి,మోహన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1067,రక్త సింధూరం,ఆ. కోదండరామి రెడ్డి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1068,శ్రీ దత్త దర్శనం,కమలకర కామేశ్వరరావు,సరుందామన్ డి. బెనర్జీ,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1069,శిక్ష,రేలంగి నరసింహా రావు,చంద్ర మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1070,స్రవంతి,క్రాంతి కుమార్,మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1071,శ్రీవారి శోబనం,జంధ్యాల,నరేష్,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1072,సూర్యుడు చంద్రుడు,విజయ నిర్మల,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1073,తిరుగుబాటు,దాసరి నారాయణరావు,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1074,వజ్రాయుధం,కె. రాఘవేంద్రరావు,కృష్ణ ఘట్టమనేని,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1076,విజేత,ఆ. కోదండరామి రెడ్డి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1985,1
1078,ఆత్మా బంధువులు,దాసరి నారాయణరావు,అక్కినేని నాగేశ్వర రావు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1079,అజేయుడు,జి. రామ్ మోహన్ రావు,దగ్గుబాటి వెంకటేష్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1080,అల్లరి కృష్ణ,నందమూరి రమేష్,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1082,అమెరికా అబ్బాయి,సింగీతం శ్రీనివాస రావు,మాస్టర్ శ్రవణ్ శంకర్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1083,అగ్ని పుత్రుడు,కె. రాఘవేంద్రరావు,అక్కినేని నాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1084,ఆహా నా-పెళ్ళంట!,జంధ్యాల,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1085,అరణ్య కాండ,క్రాంతి కుమార్,అక్కినేని నాగార్జున,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1086,భలే మొగుడు,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1087,భానుమతి గారి మొగుడు,ఆ. కోదండరామి రెడ్డి,బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1088,భారతంలో అర్జునుడు,కె. రాఘవేంద్రరావు,దగ్గుబాటి వెంకటేష్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1089,భార్గవ రాముడు,ఆ. కోదండరామి రెడ్డి,బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1090,బ్రహ్మ నాయుడు,దాసరి నారాయణరావు,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1091,చక్రవర్తి,రవిరాజా పినిశెట్టి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1092,చిన్నారి దేవత,ఎల్. కింగ్,అర్జున్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
