,Title/సినిమా పేరు,Director/దర్శకుడు,Cast/నటులు,Genre/శైలి,Date/తేదీ,Year/సంవత్సరం,Month/నెల,Language/భాష,Soup/సూప్
403,కోటా ఉందా,c.s.రావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1967,1,తెలుగు,c.s.రావు  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1967  తెలుగు
404,మా వదిన,కోటయ్యప్రత్యగాత్మ,టి.ఎల్.కాంతారావు,నాటకం,1941-01-01,1967,1,తెలుగు,కోటయ్యప్రత్యగాత్మ  టి.ఎల్.కాంతారావు  నాటకం  1941-01-01  1967  తెలుగు
405,నిండు మనసులు,s.d.లాల్,ఎన్టీఆర్,కాదు_నిర్దిష్ట,1941-01-01,1967,1,తెలుగు,s.d.లాల్  ఎన్టీఆర్  కాదు_నిర్దిష్ట  1941-01-01  1967  తెలుగు
406,పెద్ద అక్కయ్య,బి.ఎ.సుబ్బారావు,గోపురం,నాటకం,1941-01-01,1967,1,తెలుగు,బి.ఎ.సుబ్బారావు  గోపురం  నాటకం  1941-01-01  1967  తెలుగు
407,పూల రంగడు,ఆదుర్తిసుబ్బారావు,అక్కినేనినాగేశ్వరరావు,నాటకం,1941-01-01,1967,1,తెలుగు,ఆదుర్తిసుబ్బారావు  అక్కినేనినాగేశ్వరరావు  నాటకం  1941-01-01  1967  తెలుగు
408,ప్రాణ మిత్రులు,బి.హడావిడి,ఎ.నాగేశ్వరరావు,నాటకం,1941-01-01,1967,1,తెలుగు,బి.హడావిడి  ఎ.నాగేశ్వరరావు  నాటకం  1941-01-01  1967  తెలుగు
409,ప్రైవేట్ మాస్టర్,కె.విశ్వనాథ్,రామ్మోహన్,సంగీతపరమైన,1941-01-01,1967,1,తెలుగు,కె.విశ్వనాథ్  రామ్మోహన్  సంగీతపరమైన  1941-01-01  1967  తెలుగు
410,పుణ్యవతి,దాదామిరాసి,పద్మశ్రీ,ఫ్యామిలీడ్రామా,1941-01-01,1967,1,తెలుగు,దాదామిరాసి  పద్మశ్రీ  ఫ్యామిలీడ్రామా  1941-01-01  1967  తెలుగు
411,రహస్యం,వేదాంతంరాఘవ,అక్కినేనినాగేశ్వరరావు,నాటకం,1941-01-01,1967,1,తెలుగు,వేదాంతంరాఘవ  అక్కినేనినాగేశ్వరరావు  నాటకం  1941-01-01  1967  తెలుగు
412,సాక్షి,బాపు,ఘట్టమనేనికృష్ణ,నాటకం,1941-01-01,1967,1,తెలుగు,బాపు  ఘట్టమనేనికృష్ణ  నాటకం  1941-01-01  1967  తెలుగు
413,సతి సుమతి,వేదాంతంరాఘవ,కాటులావో,నాటకం,1941-01-01,1967,1,తెలుగు,వేదాంతంరాఘవ  కాటులావో  నాటకం  1941-01-01  1967  తెలుగు
414,శ్రీ కృష్ణావతారం,కమలకరకామేశ్వరరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1967,1,తెలుగు,కమలకరకామేశ్వరరావు  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1967  తెలుగు
415,శ్రీ శ్రీ శ్రీ మర్యాద రామన్న,కె.హేమభరధరరావు,బి.పద్మనాభం,కాదు_నిర్దిష్ట,1941-01-01,1967,1,తెలుగు,కె.హేమభరధరరావు  బి.పద్మనాభం  కాదు_నిర్దిష్ట  1941-01-01  1967  తెలుగు
416,స్త్రీ జననం,కె.ఎస్.ప్రకాశరావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1967,1,తెలుగు,కె.ఎస్.ప్రకాశరావు  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1967  తెలుగు
417,సుడిగుండాలు,ఆదుర్తిసుబ్బారావు,అక్కినేనినాగేశ్వరరావు,నాటకం,1941-01-01,1967,1,తెలుగు,ఆదుర్తిసుబ్బారావు  అక్కినేనినాగేశ్వరరావు  నాటకం  1941-01-01  1967  తెలుగు
418,ఉమ్మడి కుటుంబం,డి.యోగానంద్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1967,1,తెలుగు,డి.యోగానంద్  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1967  తెలుగు
419,వసంత సేన,b.s.డిగ్రీ,"ఆ.నాగేశ్వరరావు,అంజలీదేవి,పద్మిని",కాదు_నిర్దిష్ట,1941-01-01,1967,1,తెలుగు,"b.s.డిగ్రీ  ఆ.నాగేశ్వరరావు,అంజలీదేవి,పద్మిని  కాదు_నిర్దిష్ట  1941-01-01  1967  తెలుగు"
420,వీర పూజ,ఎవిశేషగిరిరావు,టి.ఎల్.కాంతారావు,కాదు_నిర్దిష్ట,1941-01-01,1967,1,తెలుగు,ఎవిశేషగిరిరావు  టి.ఎల్.కాంతారావు  కాదు_నిర్దిష్ట  1941-01-01  1967  తెలుగు
421,అగ్గి మీద గుగ్గిలం,జి.విశ్వనాథం,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,జి.విశ్వనాథం  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
422,అమాయకుడు,ఎ.నారాయణమూర్తి,కృష్ణుడు,నాటకం,1941-01-01,1968,1,తెలుగు,ఎ.నారాయణమూర్తి  కృష్ణుడు  నాటకం  1941-01-01  1968  తెలుగు
423,అత్తగారు కొత్త కోడలు,సంజీవి,కృష్ణుడు,ఫ్యామిలీడ్రామా,1941-01-01,1968,1,తెలుగు,సంజీవి  కృష్ణుడు  ఫ్యామిలీడ్రామా  1941-01-01  1968  తెలుగు
424,బాగ్దాద్ గజ దొంగ,దాసరియోగానంద్,పద్మశ్రీ,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,దాసరియోగానంద్  పద్మశ్రీ  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
425,అనుబంధం,s.v.రంగారావు,s.v.రంగారావు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,s.v.రంగారావు  s.v.రంగారావు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
426,బందిపోటు దొంగలు,కోవెలమూడిసూర్యప్రకాశ్రావు,అక్కినేనినాగేశ్వరరావు,నాటకం,1941-01-01,1968,1,తెలుగు,కోవెలమూడిసూర్యప్రకాశ్రావు  అక్కినేనినాగేశ్వరరావు  నాటకం  1941-01-01  1968  తెలుగు
427,బంగారు గాజులు,c.s.రావు,అక్కినేనినాగేశ్వరరావు,ఫ్యామిలీడ్రామా,1941-01-01,1968,1,తెలుగు,c.s.రావు  అక్కినేనినాగేశ్వరరావు  ఫ్యామిలీడ్రామా  1941-01-01  1968  తెలుగు
428,బంగారు పిచికా,బాపు,చంద్రమోహన్,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,బాపు  చంద్రమోహన్  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
429,బంగారు సంకెళ్లు,గుత్తారామినీడు,హరనాథ్,నాటకం,1941-01-01,1968,1,తెలుగు,గుత్తారామినీడు  హరనాథ్  నాటకం  1941-01-01  1968  తెలుగు
430,భాగ్య చక్రము,స్టిల్స్వెంకటరెడ్డి,ఎన్.టి.రామారావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,స్టిల్స్వెంకటరెడ్డి  ఎన్.టి.రామారావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
431,భలే మాస్టర్,s.d.లాల్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1968,1,తెలుగు,s.d.లాల్  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1968  తెలుగు
432,భలే మొనగాడు,బి.విఠలాచార్య,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,బి.విఠలాచార్య  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
433,భార్య,కోవెలమూడిసూర్యప్రకాశ్రావు,చిట్టోఆర్వి.నాగయాహెచ్,నాటకం,1941-01-01,1968,1,తెలుగు,కోవెలమూడిసూర్యప్రకాశ్రావు  చిట్టోఆర్వి.నాగయాహెచ్  నాటకం  1941-01-01  1968  తెలుగు
434,బ్రహ్మచారి,తాతినేనిరామారావు,అక్కినేనినాగేశ్వరరావు,ఫ్యామిలీడ్రామా,1941-01-01,1968,1,తెలుగు,తాతినేనిరామారావు  అక్కినేనినాగేశ్వరరావు  ఫ్యామిలీడ్రామా  1941-01-01  1968  తెలుగు
435,చిన్నారి పాపాలు,సావిత్రి,కొంగరజగ్గా,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,సావిత్రి  కొంగరజగ్గా  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
436,సర్కార్ ఎక్స్‌ప్రెస్,ఎం.కృష్ణన్,కృష్ణుడు,సస్పెన్స్,1941-01-01,1968,1,తెలుగు,ఎం.కృష్ణన్  కృష్ణుడు  సస్పెన్స్  1941-01-01  1968  తెలుగు
437,దేవుడిచ్చిన భర్త,పి.పద్మరాజు,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,పి.పద్మరాజు  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
438,దేవకన్య,ఎ.హేమాంబ్రధరరావు,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,ఎ.హేమాంబ్రధరరావు  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
439,ఎవరు మొనగాడు,ఆర్.సుందరం,తాడపల్లిలక్ష్మీకాంతరావు,థ్రిల్లర్,1941-01-01,1968,1,తెలుగు,ఆర్.సుందరం  తాడపల్లిలక్ష్మీకాంతరావు  థ్రిల్లర్  1941-01-01  1968  తెలుగు
440,ఆవు గోపన్న,c.s.రావు,అక్కినేనినాగేశ్వరరావు,నాటకం,1941-01-01,1968,1,తెలుగు,c.s.రావు  అక్కినేనినాగేశ్వరరావు  నాటకం  1941-01-01  1968  తెలుగు
441,కలిసొచ్చిన అదృష్టం,కాశీనాధునివిశ్వనాధ్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1968,1,తెలుగు,కాశీనాధునివిశ్వనాధ్  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1968  తెలుగు
442,కుంకుమ బరని,వేదాంతంరాఘవ,తాడపల్లిలక్ష్మీకాంతరావు,నాటకం,1941-01-01,1968,1,తెలుగు,వేదాంతంరాఘవ  తాడపల్లిలక్ష్మీకాంతరావు  నాటకం  1941-01-01  1968  తెలుగు
443,మన్సంసారం,c.s.రావు,శోభన్బాబు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,c.s.రావు  శోభన్బాబు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
444,మంచి కుటుంబం,v.ఏడుపుమధుసూధన్,అక్కినేనినాగేశ్వరరావు,ఫ్యామిలీడ్రామా,1941-01-01,1968,1,తెలుగు,v.ఏడుపుమధుసూధన్  అక్కినేనినాగేశ్వరరావు  ఫ్యామిలీడ్రామా  1941-01-01  1968  తెలుగు
445,నడమంత్రపు సిరి,తాతినేనిరామారావు,హరనాథ్,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,తాతినేనిరామారావు  హరనాథ్  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
446,నీరుకిమి నీర్వేదపీఠ చరిత్ర,నారాయణరావు,గోపురం,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,నారాయణరావు  గోపురం  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
447,నేనే మొనగాన్ని,s.d.లాల్,ఎన్.టి.రామారావు,క్రైమ్స్టోరీ,1941-01-01,1968,1,తెలుగు,s.d.లాల్  ఎన్.టి.రామారావు  క్రైమ్స్టోరీ  1941-01-01  1968  తెలుగు
448,నేనంటే నేనే,వి.రామచంద్రరావు,కృష్ణుడు,థ్రిల్లర్,1941-01-01,1968,1,తెలుగు,వి.రామచంద్రరావు  కృష్ణుడు  థ్రిల్లర్  1941-01-01  1968  తెలుగు
449,నిలువు దోపిడీ,c.s.రావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1968,1,తెలుగు,c.s.రావు  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1968  తెలుగు
450,నిండు సంసారం,c.s.రావు,ఎన్.టి.రామారావు,ఫ్యామిలీడ్రామా,1941-01-01,1968,1,తెలుగు,c.s.రావు  ఎన్.టి.రామారావు  ఫ్యామిలీడ్రామా  1941-01-01  1968  తెలుగు
451,నిన్నే పెళ్లాడట,బివిశ్రీనివాస్,ఎన్.టి.రామారావు,హాస్యం,1941-01-01,1968,1,తెలుగు,బివిశ్రీనివాస్  ఎన్.టి.రామారావు  హాస్యం  1941-01-01  1968  తెలుగు
452,పాల మనసులు,s.s.r.శర్మ,హరనాథ్,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,s.s.r.శర్మ  హరనాథ్  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
453,పంతాలు పట్టింపులు,కె.బి.తిలక్,శోభన్బాబు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,కె.బి.తిలక్  శోభన్బాబు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
454,పాప కోసం,జి.వి.ఆర్.శేషగిరిరావు,బేబీరాణి,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,జి.వి.ఆర్.శేషగిరిరావు  బేబీరాణి  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
455,పేదరాశి పెద్దమ్మ కథ,గిడుతూరిసూర్యం,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,గిడుతూరిసూర్యం  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
456,ఎరుపు చర్మం,మానాపురంఅప్పారావు,హరనాథ్,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,మానాపురంఅప్పారావు  హరనాథ్  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
457,రాజ యోగం,subbarmaపది,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,subbarmaపది  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
458,శాఖ,ఈ.సి.త్రిలోకచందర్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1968,1,తెలుగు,ఈ.సి.త్రిలోకచందర్  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1968  తెలుగు
459,రానా బెర్రీ,గిడుతూరిసూర్యం,తాడపల్లిలక్ష్మీకాంతరావు,జానపదసాహిత్యం,1941-01-01,1968,1,తెలుగు,గిడుతూరిసూర్యం  తాడపల్లిలక్ష్మీకాంతరావు  జానపదసాహిత్యం  1941-01-01  1968  తెలుగు
460,ప్రక్కనే అరుంధతి,k.v.నందన్రావు,తాడపల్లిలక్ష్మీకాంతరావు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,k.v.నందన్రావు  తాడపల్లిలక్ష్మీకాంతరావు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
461,సుడిగుండాలు,ఆదుర్తిసుబ్బారావు,అక్కినేనినాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,ఆదుర్తిసుబ్బారావు  అక్కినేనినాగేశ్వరరావు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
462,పొడి పుండు,i.n.మూర్తి,జయలలిత,నాటకం,1941-01-01,1968,1,తెలుగు,i.n.మూర్తి  జయలలిత  నాటకం  1941-01-01  1968  తెలుగు
463,తల్లి ప్రేమ,శ్రీకాంత్,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,శ్రీకాంత్  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
464,తిక్క శంకరయ్య,దాసరియోగానంద్,ఎన్.టి.రామారావు,హాస్యం,1941-01-01,1968,1,తెలుగు,దాసరియోగానంద్  ఎన్.టి.రామారావు  హాస్యం  1941-01-01  1968  తెలుగు
465,ఉమా చండి గౌరీ శంకరుల కథ,స్టిల్స్వెంకటరెడ్డి,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,స్టిల్స్వెంకటరెడ్డి  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
466,ఉండమ్మా బొట్టు పెడతా,కాశీనాధునివిశ్వనాధ్,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,కాశీనాధునివిశ్వనాధ్  కృష్ణుడు  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
467,వీరాంజనేయుడు,కమలాకరకామేశ్వరరావు,కాటులావో,కాదు_నిర్దిష్ట,1941-01-01,1968,1,తెలుగు,కమలాకరకామేశ్వరరావు  కాటులావో  కాదు_నిర్దిష్ట  1941-01-01  1968  తెలుగు
468,ఆదర్శ కుటుంభం,కోటయ్యప్రత్యగాత్మ,అక్కినేనినాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,కోటయ్యప్రత్యగాత్మ  అక్కినేనినాగేశ్వరరావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
469,ఆత్మీయులు,v.మధుసూదన్రావు,అక్కినేనినాగేశ్వరరావు,నాటకం,1941-01-01,1969,1,తెలుగు,v.మధుసూదన్రావు  అక్కినేనినాగేశ్వరరావు  నాటకం  1941-01-01  1969  తెలుగు
470,అదృష్టవంతులు,v.ఏడుపుమధుసూధన్,"గౌరవం,జయలలిత",కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,"v.ఏడుపుమధుసూధన్  గౌరవం,జయలలిత  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు"
471,అగ్గి పిడుగు,బి.విఠలాచార్య,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,బి.విఠలాచార్య  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
472,అర్థచంద్రాకారం,పి.సాంబశివరావు,కొంగరజగ్గయ్య,నాటకం,1941-01-01,1969,1,తెలుగు,పి.సాంబశివరావు  కొంగరజగ్గయ్య  నాటకం  1941-01-01  1969  తెలుగు
473,బండిపోతు భీమన్న,ఎం.మల్లిఖార్జునరావు,అంజలీదేవి,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,ఎం.మల్లిఖార్జునరావు  అంజలీదేవి  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
474,బంగారు పంజరం,బిఎన్రెడ్డి,శోభన్బాబు,నాటకం,1941-01-01,1969,1,తెలుగు,బిఎన్రెడ్డి  శోభన్బాబు  నాటకం  1941-01-01  1969  తెలుగు
475,భలే మాస్టారు,s.d.లాల్,అంజలీదేవి,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,s.d.లాల్  అంజలీదేవి  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
476,భలే రంగడు,తాతినేనిరామారావు,అక్కినేనినాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,తాతినేనిరామారావు  అక్కినేనినాగేశ్వరరావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
477,భలే తమ్ముడు,బి.ఎ.సుబ్బారావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,బి.ఎ.సుబ్బారావు  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
478,బుద్ధిమంతుడు,బాపు,అక్కినేనినాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,బాపు  అక్కినేనినాగేశ్వరరావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
479,ఏకవీర,c.s.రావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,c.s.రావు  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
480,గోపాలుడు భూపాలుడు,జి.విశ్వనాథన్,జయలలిత,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,జి.విశ్వనాథన్  జయలలిత  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
481,కదలదు వదలదు,బి.విఠలాచార్య,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,బి.విఠలాచార్య  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
482,కథానాయకుడు,ఎ.హేమాంబ్రధరరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,ఎ.హేమాంబ్రధరరావు  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
483,మంచి మిత్రులు,తాతినేనిరామారావు,శోభన్బాబు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,తాతినేనిరామారావు  శోభన్బాబు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
484,మనిషిచిన మగువ,ఎ.భీమ్సింగ్,సావిత్రి,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,ఎ.భీమ్సింగ్  సావిత్రి  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
485,మనుషులు మారాలి,v.మధుసూదన్రావు,బబ్,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,v.మధుసూదన్రావు  బబ్  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
486,మాతృ దేవతా,సావిత్రి,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,సావిత్రి  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
487,మూగ నోము,డి.యోగానంద్,ఎ.నాగేశ్వరరావు,నాటకం,1941-01-01,1969,1,తెలుగు,డి.యోగానంద్  ఎ.నాగేశ్వరరావు  నాటకం  1941-01-01  1969  తెలుగు
488,నాటకాల రాయుడు,కె.సంజీవి,కైకాలసత్యనారాయణ,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,కె.సంజీవి  కైకాలసత్యనారాయణ  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
489,నిండు హృదయాలు,కె.విశ్వనాథ్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1969,1,తెలుగు,కె.విశ్వనాథ్  ఎన్.టి.రామారావు  నాటకం  1941-01-01  1969  తెలుగు
490,రాజు సింహా,a.శబరామదాస్,వాణిశ్రీ,చర్య,1941-01-01,1969,1,తెలుగు,a.శబరామదాస్  వాణిశ్రీ  చర్య  1941-01-01  1969  తెలుగు
491,నమస్కారం సత్యం,జి.విశ్వనాథం,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,జి.విశ్వనాథం  కృష్ణుడు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
492,సప్తస్వర్లు,వేదాంతంరాఘవ,కాటులావో,నాటకం,1941-01-01,1969,1,తెలుగు,వేదాంతంరాఘవ  కాటులావో  నాటకం  1941-01-01  1969  తెలుగు
493,"వెళ్ళిపో, వెళ్ళిపో",కే.బాలచందర్,చలం,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,కే.బాలచందర్  చలం  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
494,శ్రీరామ్ కథ,బి.పద్మనాభం,అంజలీదేవి,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,బి.పద్మనాభం  అంజలీదేవి  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
495,సిపాయి చిన్నయ్య,జి.వి.ఆర్.శేషగిరిరావు,అక్కినేనినాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,జి.వి.ఆర్.శేషగిరిరావు  అక్కినేనినాగేశ్వరరావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
496,టక్కరి దొంగ చక్కని చుక్క,k.s.r.దాస్,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,k.s.r.దాస్  కృష్ణుడు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
497,వరకటానం,ఎన్టీఆర్,"ఎన్టీఆర్,",కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,"ఎన్టీఆర్  ఎన్టీఆర్,  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు"
498,విచిత్ర కుటుంభం,కె.ఎస్.ప్రకాశరావు,ఎన్.టి.రామారావు,కాదు_నిర్దిష్ట,1941-01-01,1969,1,తెలుగు,కె.ఎస్.ప్రకాశరావు  ఎన్.టి.రామారావు  కాదు_నిర్దిష్ట  1941-01-01  1969  తెలుగు
499,వాళ్ళు పట్టించుకోరు,వి.రామచంద్రరావు,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,వి.రామచంద్రరావు  కృష్ణుడు  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
500,అలీ బాబా ౪౦ దొంగలు,బి.విఠలాచార్య,ఎన్టీఆర్,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,బి.విఠలాచార్య  ఎన్టీఆర్  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
501,అమ్మ కోసం,బివిప్రసాద్,కృష్ణంరాజు,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,బివిప్రసాద్  కృష్ణంరాజు  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
502,బాలరాజు కథ,బాపు,మాస్టర్ప్రభాకర్,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,బాపు  మాస్టర్ప్రభాకర్  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
503,చిట్టి చెల్లెలు,m.కృష్ణన్నాయర్,ఎన్టీఆర్,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,m.కృష్ణన్నాయర్  ఎన్టీఆర్  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
504,దేశమంటే మనుషులోయి,c.s.రావు,శోభన్బాబు,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,c.s.రావు  శోభన్బాబు  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
505,ధర్మ దత్త,సంజీవి,అక్కినేనినాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,సంజీవి  అక్కినేనినాగేశ్వరరావు  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
506,ద్రోహి,కోవెలమూడిబాపయ్య,కొంగరజగ్గా,కాదు_నిర్దిష్ట,1941-01-01,1970,1,తెలుగు,కోవెలమూడిబాపయ్య  కొంగరజగ్గా  కాదు_నిర్దిష్ట  1941-01-01  1970  తెలుగు
