Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
Sri Ramulayya,Nimmala Shankar,,Vandemataram Srinivas,Mohan Babu,,,1999
Sultan,Sarath,,Koti,Nandamuri Balakrishna,,,1999
Swapnalokam,Bhimaneni Srinivasa Rao,,Vandemataram Srinivas,Jagapati Babu,,,1999
Swayamvaram,K. Vijaya Bhaskar,,Vandemataram Srinivas,Venu,,,1999
Thammudu,P. A. Arun Prasad,,Ramana Gogula,Pawan Kalyan,,,1999
Telangana,,,Koti,Suresh,,,1999
Veedu Samanyudu Kadhu,Uppalapati Narayana,,Vidhyasagar,Prakash Raj,,,1999
Velugu Needalu,Mourya,,M. M. Sreelekha,"Venkat, ",,,1999
Vichitram,Jandhyala,,Raj-Koti,"Gajjal Srinivas, ",,,1999
Yamajathakudu,Nimmala Shankar,,Vandemataram Srinivas,Mohan Babu,,,1999
Kalidas,H. M. Reddy,"Imperial Movi-Tone
",Not Known,T. P. Rajalakshmi,"Biographical
","31 October 1931
",1930
Bhakta Prahlada,H. M. Reddy,Sri Krishna Film Company,Not Known,"Venkata Subbaiah Munipalle, ",Devotional,"6 February 1932
",1930
Rama Paduka Pattabhishekam,Sarvottam Badami,"Sagar Movietone
",Not Known,C. S. R. Anjaneyulu,"Devotional
","
",1930
Shakuntala,Sarvottam Badami,,Not Known,Yadavalli Suryanarayana,"Mythology
","
",1930
Chintamani,Sadasiva Rao Kallakoori,,Not Known,"Master Baburao, Bhadracharyulu, Pulipati Venkateswarulu, P Ramatilakam, Parvatibai etc.","Devotional
","29 July 1933
",1930
Prithvi Putra,Potina Srinivasa Rao,,Not Known,"Parepalli Satyannarayana, ","Devotional
","20 December 1933
",1930
Prajvala Alapana,"Sadasiva Rao
",,Not Known,,,"
",1930
Ramadasu,C. Pullaiah,,Not Known,Ghantasala Balaramayya,"Devotional
","2 September 1933
",1930
Sati Savitri,C. Pullaiah,East India Film Company,Not Known,"Nidumukkala Subba Rao, Rama Thilakam, ","Devotional
","5 February 1933
",1930
"Sathi Savitri
",H. M. Reddy,"Bharat MovieTones
",Not Known,"Kanthamani, V.V. Subba Rao, K.L. Kantham, Hem Singh
","Devotional
","4 February 1933
",1930
Athulya Sahavasam,"Pullaya
",,Not Known,,,"
",1930
Ahalya,"K. Rangarao
",,Not Known,,,"
",1930
Lava Kusa,C. Pullaiah,East India Film Company,Not Known,"Parupalli Subba Rao, ","Devotional
","22 December 1934
",1930
Sita Kalyanam,"C. Narasimha Rao
",Vel Pictures,Not Known,"Madhavapeddi Venkatramaiah, Master Kalyani, Bezawada Rajarathnam, P. Rama Thilakam, Nageswara Rao, Lanka Krishnamurthy","Devotional
","6 October 1934
",1930
Bhakta Kuchela,"K. Sadasivarao
","Radha Film Company
",Not Known,K. Raghuramaiah,"Devotional
","20 July 1935
",1930
Harishchandra,"T. A. Raman
",Star Combines,Not Known,"Adhanki Srirama Murthy, ","Devotional
","9 November 1935
",1930
Sati Anasuya,"Ahin Chowdhary
",,Not Known,"Dasari Kotaratnam, Tungala Chalapati",Devotional,"
",1930
Sati Sakkubai,"Charu Rai
",,Not Known,"Tungala Chalapati Rao, Dasari Kotiratnam, Suravarapu Venkateswarulu, Dasari Anjani Bai","Devotional
","21 May 1935
",1930
Sri Krishna Leelalu,"C. Narasimha Rao
",Vel Pictures,Not Known,S. Rajeswara Rao,,"30 November 1935
",1930
Sri Krishna Tulabharam,C. Pullaiah,East India Film Company,Not Known,"Ramanatha Sastri Kapilavayi, ",Devotional,"22 April 1935
",1930
Rani Premalata,"
",,Not Known,,,"
",1930
Dhruva (Also Known as Dhruva Vijayamu),C. Pullaiah,East India Film Company,Not Known,"C. Narayanaswamy, T. Venkateswarulu, M. Hemalata, Sitaram, M. Rangachari, A. Narasimha Rao, Lalitha",Mythology,"
",1930
Draupadi Maanasamrakshana,"N. Jaganatha Swamy
",Lakshmi Films,Not Known,Bellary Raghava,Mythology,"24 March 1936
",1930
Draupadi Vastrapaharanam,"H. Vishwanath Babu
",Saraswati Talkies,Not Known,Yadavalli Suryanarayana,Mythology,"29 February 1936
",1930
Kabir,"S. Rangaswamy
",Oriental Classical Films,Not Known,,,"5 February 1936
",1930
Lanka Dahanam,"K. Sadasivarao
",,Not Known,K. Raghuramaiah,Mythology,"
",1930
Mayabazar (Also Known as Sasirekha Parinayam),"P. V. Das
",Vel Pictures,Not Known,"Yadavalli Nageswara Rao, ",Mythology,"
",1930
Premavijayam,"Krithiventi Nageshwara Rao
",,Not Known,"Ranga Rao, P. S. Sharma, B. Rajalakshma, P. Rama Rao, ",,"
",1930
Premilarjuneyam,"
",,Not Known,,,"
",1930
Sampoorna Ramayanam,"I. Nagabhushana Rao, N. B. Narayana
",Durga Cinetone,Not Known,"B. Narayana Murthy, M. Narayana Rao, ",Devotional,"
",1930
Sati Tulasi,"C. Narasimha Rao
",,Not Known,Ghantasala Balaramayya,Mythology,"
",1930
Sulochana,"
",,Not Known,,,"
",1930
Veerabhimanyu,"V. D. Ameen
",Select Pctures Circuit,Not Known,Kanchanamala,Mythology,"
",1930
Balayogini,K. Subrahmanyam,Mahalakshmi Studio,Not Known,Baby Saroja,Drama,"
",1930
Dasavataramulu,"K. V. Bhave
",Saraswathi Cinetone,Not Known,"Parepalli Subba Rao, Mandha Subbarao, Dronamraju Narasimharao, Tigela Venkateswarlu, Koderu Rajasodarulu, Dommiti Satyanarayana",Mythology,"27 September 1937
",1930
Kanakatara,"H. Vishwanath Babu
",Saraswati Talkies,Not Known,"Dommeti Suryanarayana, ",Romance,"
",1930
Mohini Rukmangada,"C. Narasimha Rao
",National Movietone,Not Known,Vemuri Gaggaiah,Mythology,"
",1930
Nara Narayana,"C. Narasimha Rao
",,Not Known,"Adhanki Srirama Murthy, P. Rama Thilakam, Pulipati Venkateswarlu",Devotional,"
",1930
Rukmini Kalyanam,"R. Nataraja Mudaliar
",Sri Bharatha Lakshmi Pictures,Not Known,K. Raghuramaiah,Devotional,"
",1930
Sarangadhara,P. Pullaiah,Star Combines,Not Known,Banda Kanakalingeshwara Rao,Devotional,"
",1930
Vijayadashami,"
",,Not Known,,,"
",1930
Vipra Narayana,"Ahindra Chaudhari
",Arora Pictures,Not Known,"Kasturi Narasimha Rao, ",Devotional,"
",1930
Bhakta Jayadeva,"Hiren Bose
",Andhra Cinetone,Not Known,Surabhi Kamalabai,Devotional,"
",1930
Bhakta Markandeya,C. Narayana Murthy,Kubera Films,Not Known,Vemuri Gaggaiah,Devotional,"17 June 1938
",1930
Chal Mohana Ranga,C. Pullaiah,Andhra Talkies,Not Known,"Valli Subba Rao, ",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930
Chitranaleeyam,"D. Rami Reddy
",Kubera Films,Not Known,Banda Kanakalingeshwara Rao,Mythology,"
",1930
Gruhalakshmi,H. M. Reddy,Rohini Pictures,Not Known,Chittor V. Nagaiah,Drama,"12 March 1938
",1930
Gulebakavali,"Kallakoori Sadasiva Rao
",Paramount Film Company,Not Known,B. Jayamma,Fantasy,"
",1930
Kacha Devayani,"C. Dronamraju
",Radha Film Company,Not Known,"S. P. Lakshmana Swamy, C. Krishnaveni, C. Suryanarayana Bhagavathar, R. Rami Reddy, K. Raghuramayya",Mythology,[1],1930
Kasula Peru,C. Pullaiah,Andhra Talkies,Not Known,"K. Hanumantha Rao, Sundaramma, Srihari, Tulasamma",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930
Krishna Jarasandha,"C. Narasimha Rao
",Jaya Films,Not Known,"T. Ramakrishna Sastry, ",Mythology,"
",1930
Mala Pilla,Gudavalli Ramabrahmam,Jagadeesh Filims,Not Known,Govindarajula Subba Rao,Social,"25 September 1938
",1930
Mohini Basmasura,C. Pullaiah,Andhra Talkies,Not Known,Pushpavalli,Devotional,"
",1930
Narada Samsaram,"
",,Not Known,,,"
",1930
Satyanarayana Vratam,C. Pullaiah,Andhra Talkies,Not Known,"Kamaraju, Devarakonda Ramoorthi, Hymavathi, Laxminarasamma",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930
Thukaram,"B. Narayana Rao
",Star Combines,Not Known,C. S. R. Anjaneyulu,Drama,"
",1930
Amma,"Niranjan Pal
",,Not Known,,,"
",1930
Jayaprada,"Ch. Narasimha Rao
",Sharada-Rayalseema Films,Not Known,C. S. R. Anjaneyulu,Devotional,"
",1930
Mahananda,"China Kameswara Rao Dronamraju
",Jaya Films,Not Known,"Adhanki Srirama Murthy, Parepalli Subba Rao, ",Devotional,"
",1930
Malli Pelli,Y. V. Rao,Sri Jagadish Films,Not Known,Y. V. Rao,Social,"
",1930
Panduranga Vittal,"B. V. Ramanandam
",Radha Film Company,Not Known,"Panchangam Ramanujachary, T. Chalapathi Rao, Dasari Kotiratnam, D. Satyanarayana, Kanthamani",Devotional,"
",1930
Pasupathastram,"K. Ranga Rao
",,Not Known,K. Raghuramaiah,Devotional,"
",1930
Mathru Bhoomi,H. M. Reddy,Vel Pictures,Not Known,P. U. Chinnappa,Drama,"
",1930
Radha Krishna,"
",,Not Known,,,"
",1930
Raithu Bidda,Gudavalli Ramabrahmam,Sri Saradhi Films,Not Known,Bellary Raghava,Social,"27 August 1939
",1930
"Sri Venkateswara Mahatyam (Also Known as ""Balaji"")",P. Pullaiah,Famous Pictures,Not Known,C. S. R. Anjaneyulu,Devotional,"
",1930
Vande Mataram,B. N. Reddy,Vauhini Studios,Not Known,Chittor V. Nagaiah,Social,"
",1930
Vara Vikrayam,C. Pullaiah,East India Film Company,Not Known,Pushpavalli,Social,"
",1930
Aada Janma,"G. R. Rao
",Modern Theatres,S. Dakshinamurthi,C. H. Narayana Rao,"Drama
",1951,1951
Aakasa Raju,"Jyotish Sinha
","Trimurthi Productions
","
","Gowrinatha Sastri, ","Devotional
",1951,1951
Agni Pareeksha,"M. N. Ramana Rao
","Sri Saradhi Films
",Gali Penchala Narasimha Rao,K. Raghuramaiah,"Social
",1951,1951
Chandravanka,"Jithen Banerjee
","Sri Padmanabha Pictures
",Nalam Nageswara Rao,K. Raghuramaiah,"Folklore
",1951,1951
Deeksha,K. S. Prakash Rao,Prakash Productions,Pendyala Nageswara Rao,G. Varalakshmi,"Social
",1951,1951
Jeevitha Nouka,"K. Vembu
",K & K Combines,V. Dakshinamoorthy,Thikkurissy Sukumaran Nair,"Social
",1951,1951
Malliswari,B. N. Reddy,Vijaya Productions,S. Rajeswara Rao,N. T. Rama Rao,"Folklore
",1951,1951
Mangala,"Chandru
",Gemini Studios,M. D. Parthasarathy,Ranjan,"Folklore
",1951,1951
Mantra Dandam,"K. S. Ramachandra Rao
","Sri Gnanambika Pictures
",Nalam Nageswara Rao,A. Nageswara Rao,"Fantasy
",1951,1951
Marmayogi,K. Ramnoth,Jupiter Pictures,S. M. Subbaiah Naidu,M. G. Ramachandran,"Action
",1951,1951
Maya Pilla,"R. Prakash
","Prakash Shankar Pictures
",S. Rajeswara Rao,K. Raghuramaiah,"Folklore
",1951,1951
Mayalamari,"P. Sridhar
","Aswini Pictures
",P. Adinarayana Rao,A. Nageswara Rao,"Fantasy
",1951,1951
Nirdoshi,H. M. Reddy,"Rohini Pictures
",Ghantasala,Anjali Devi,"Drama
",1951,1951
Pelli Kuthuru,N. S. Krishnan,N. S. K. Films,C. R. Subburaman,S. V. Sahasranamam,"Social
",1951,1951
Penkipilla,"B. V. Ramanandam
","Radhakrishna Films
","P. R. Moni
","Chandralekha, Duggirala Satyavathi, Alamuri Kumariratnam, Ammaji, Sundaramani
","Drama
",1951,1951
Perantalu,"T. Gopichand
","Vijayalakshmi Films
",B. Rajinikanta Rao,C. H. Narayana Rao,"Drama
",1951,1951
Rupavathi,"K. Prabhakar Rao
","Swathi Films
",C. R. Subburaman,C. H. Narayana Rao,"Folklore
",1951,1951
Sarvadikari,T. R. Sundaram,Modern Theatres,S. Dakshinamurthi,M. G. Ramachandran,"Action
",1951,1951
Soudamini,K. B. Nagabhushanam,Sri Raja Rajeswari Films,S. V. Venkatraman,A. Nageswara Rao,"Adventure
",1951,1951
Stree Sahasam,Vedantam Raghavaiah,"Vinodha Pictures
",C. R. Subburaman,A. Nageswara Rao,"Fantasy
",1951,1951
Tilottama,"Raja of Mirzapur
","Sobhanachala Pictures
",P. Adinarayana Rao,A. Nageswara Rao,"Adventure
",1951,1951
Aadarsham,"H. V. Babu
","Subhodaya Pictures
","Aswathama
",Jaggayya,"Social
",1952,1952
Aakali,"K. J. Mohan Rao
",K & K Combines,"P. S. Diwakar
",Thikkurissy Sukumaran Nair,"Social
",1952,1952
Athinti Kapuram,Acharya,Modern Theaters,S. Dakshinamurthi,M. N. Nambiar,"Drama
",1952,1952
Chinna Kodalu,Ghantasala Balaramayya,"Prathibha Pictures
","Aswathama
",C. H. Narayana Rao,"Social
",1952,1952
Chinnamma Katha,S. V. S. Rama Rao,"Jeimini Productions
","Veluri Krishna Murthy
",Govindarajula Subba Rao,"Social
",1952,1952
Daasi,L. V. Prasad,Rajyam Pictures,C. R. Subbaraman,N. T. Rama Rao,"Drama
",1952,1952
Dharma Devatha,P. Pullaiah,Ragini Films,C. R. Subbaraman,P. Shanthakumari,"Drama
",1952,1952
Kanchana,S. M. Sriramulu Naidu,Pakshiraja Studios,S. M. Subbaiah Naidu,K. R. Ramaswamy,"Social
",1952,1952
Manavathi,Y. V. Rao,"Sarvodaya Films
",B. Rajinikanta Rao,C. H. Narayana Rao,Devotional,1952,1952
Maradalu Pelli,Mukkamala,"M. K. M. Productions
",V. Nagaiah,Mukkamala,"Drama
",1952,1952
Mugguru Kodukulu,R. Nagendra Rao,Gemini Studios,"P. S. Anantharaman, ",M. K. Radha,"Social
",1952,1952
Palletooru,T. Prakash Rao,"People's Art Productions
",Ghantasala,N. T. Rama Rao,"Social
",1952,1952
Peda Raithu,K. B. Nagabhushanam,Sri Raja Rajeswari Films,"H. R. Padmanabha Sastry
","M. Srirama Murthy, ","Drama
",1952,1952
Pelli Chesi Choodu,L. V. Prasad,Vijaya Productions,Ghantasala,N. T. Rama Rao,"Social
",1952,1952
Praja Seva,"K. Prabhakar Rao
",Sobhanachala Pictures,"M. B. Walke
",C. Lakshmi Rajyam,"Drama
",1952,1952
Prema,P. S. Ramakrishna Rao,Bharani Studios,C. R. Subbaraman,A. Nageswara Rao,"Drama
",1952,1952
Priyuralu,T. Gopichand,"Bharathalakshmi Productions
",S. Rajeswara Rao,"Lakshmikantam, ","Drama
",1952,1952
Rajeswari,R. Padmanaban,Padmanaban Creations,Ogirala Ramachandra Rao,"M. Srirama Murthy, ","Folklore
",1952,1952
Sahasam,"Raja of Mirjapur
",Sobhanachala Pictures,"M. B. Walke
","Prabhakar Rao, ","Folklore
",1952,1952
Sankranti,C. Pullaiah,"Chamria Productions
","Aswathama
","Chandrashekar, ","Drama
",1952,1952
Santhi,Vedantam Raghavaiah,"Vinodha Pictures
",C. R. Subbaraman,Govindarajula Subba Rao,"Drama
",1952,1952
Savati Poru,T. R. Sundaram,Modern Theaters,S. Dakshinamurthi,"G. Muthukrishnan, ","Epic
",1952,1952
Singari,T. R. Raghunath,"National Productions
",S. V. Venkatraman,T. R. Ramachandran,"Drama
",1952,1952
Suvarna Mala,"K. Sadasiva Rao
","
","
","Aarani Suryanarayana, Surabhi Balasaraswathi
","Drama
",1952,1952
Tingu Ranga,B. A. Subba Rao,"Yuva Chithra Combines
",T. V. Raju,"M. Srirama Murthy, ","Drama
",1952,1952
Apeksha,"M. Natesan
","Natesh Art Pictures
",T. R. Pappa,Sivaji Ganesan,"Drama
",1953,1953
Amarakavi,"F. Nagoor
","Nagoor Cine Productions
",G. Ramanathan,M. K. Thyagaraja Bhagavathar,"Folklore
",1953,1953
Ammalakkalu,D. Yoganand,Krishna Pictures,G. Ramanathan,N. T. Rama Rao,"Social
",1953,1953
Bratuku Teruvu,P. S. Ramakrishna Rao,"
","
",Akkineni Nageswara Rao,"Drama
",1953,1953
Chivaruku Miguledhi Emi Unadhi,P. S. Ramakrishna Rao,"Bhaskar Productions
",C. R. Subbaraman,A. Nageswara Rao,"Drama
",1953,1953
Kitukendo Cheppave Chalaki Bullemma,P. Bhanumathi,Bharani Pictures,C. R. Subbaraman,P. Bhanumathi,"Folklore
",1953,1953
Devadasu,Vedantam Raghavaiah,"Vinodha Pictures
",C. R. Subbaraman,A. Nageswara Rao,"Romance
",1953,1953
Gumastha,"R. M. Krishnaswamy
","Aruna Pictures
",G. Ramanathan,V. Nagaiah,"Social
",1953,1953
Inspector,"R. S. Mani
",Jupiter Pictures,G. Ramanathan,S. Balachander,"Drama
",1953,1953
Jaganmohini,"Dr. Shankar Singh
","Mahatma Pictures
","P. Shyamanna
",Harini,"Fantasy
",1953,1953
Kanna Talli,K. S. Prakash Rao,Prakash Productions,Pendyala Nageswara Rao,A. Nageswara Rao,"Drama
",1953,1953
Kodarikam,K. Vembu,"Sri Gajanna Productions
",C. N. Pandurangan,"Ramachandra Kasyap, ","Drama
",1953,1953
Lakshmi,K. B. Nagabhushanam,Sri Raja Rajeswari Films,M. D. Parthasarathy,P. Kannamba,"Drama
",1953,1953
Manjari,Y. V. Rao,"Sri Varuna and Mahatma Pictures
","H. R. Padmanabha Sastry
",C. H. Narayana Rao,"Folklore
",1953,1953
Naa Chellelu,Ch. Narayana Murthy,"Ashoka Pictures
",C. N. Pandurangan,"Amarnath, ","Social
",1953,1953
Naa Illu,V. Nagaiah,Our India Films,V. Nagaiah,V. Nagaiah,"Drama
",1953,1953
Okka Talli Pillalu,A. S. A. Sami,Pakshiraja Studios,S. M. Subbaiah Naidu,"Sriram, ","Drama
",1953,1953
Pakka Inti Ammayi,C. Pullaiah,East India Film Company,"Aswathamma
",Relangi,"Comedy
",1953,1953
Paradesi,L. V. Prasad,Anjali Pictures,P. Adinarayana Rao,A. Nageswara Rao,"Drama
",1953,1953
Paropakaram,Kamal Ghosh,"Shobha Films
",Ghantasala,G. Varalakshmi,"Drama
",1953,1953
Pempudu Koduku,L. V. Prasad,Prasad Art Pictures,S. Rajeswara Rao,Sivaji Ganesan,"Drama
",1953,1953
Pichi Pullayya,T. Prakash Rao,National Art Theatres,T. V. Raju,N. T. Rama Rao,"Social
",1953,1953
Prapancham,"S. L. Ramachandran
","Society Pictures
","M. S. Gnanamani
",V. Nagaiah,"Drama
",1953,1953
Pratigna ,Y. R. Swamy,"Rohini Pictures
","T. A. Kalyanam
",Kanta Rao,"Drama
",1953,1953
Prema Lekhalu,Raja Nawathe,R. K. Films,Shankar–Jaikishan,Raj Kapoor,"Romance
",1953,1953
Puttillu,"Dr. Raja Rao
","Raja Productions
",T. Chalapathi Rao,"Dr. Raja Rao, ","Drama
",1953,1953
Rohini,Kamal Ghosh,"Madras Arts Production
",G. Ramanathan,Madhuri Devi,"Drama
",1953,1953
Thandri,"M. R. S. Mani
","Excel Productions
","P. S. Divakar
",Prem Nazir,"Social
",1953,1953
Vayyari Bhama,"P. Subba Rao
","Ajantha Pictures
",S. Rajeswara Rao,A. Nageswara Rao,"Adventure
",1953,1953
Achintya Apeksha Ratnavali,S. M. Sriramulu Naidu,Pakshiraja Studios,S. M. Subbaiah Naidu,N. T. Rama Rao,"Action
",1954,1954
Aggi Ramudu,"S. M. Sriramulu Naidu
","
","
",P. Bhanumathi,"Swashbuckler
",1954,1954
Amara Sandhesam,Adurthi Subba Rao,"Sahini Pictures
",K. Prasad Rao,"Amarnath, ","Musical
",1954,1954
Annadata,Vedantam Raghavaiah,"Ashwaraj Films
",P. Adinarayana Rao,A. Nageswara Rao,"Drama
",1954,1954
Anta Manavalle,Tapi Chanakya,Saradhi Studios,Master Venu,"Amarnath, ","Drama
",1954,1954
Baalanandam,K. S. Prakash Rao,Prakash Productions,Pendyala Nageswara Rao,"Relangi Satyanarayana Babu, Kundu, Turlapati Vijaya Lakshmi, Mallika, Nidadavol Jogabai, Kanda Mohan
","Drama
",1954,1954
Bangaru Bhoomi,A. T. Krishnaswamy,Jayanthi Pictures,Thurayur Rajgopal Sarma,Anjali Devi,"Drama
",1954,1954
Chakrapani,P. S. Ramakrishna Rao,Bharani Studios,P. Bhanumathi,A. Nageswara Rao,"Comedy
",1954,1954
Chandraharam,K. Kameswara Rao,Vijaya Productions,Ghantasala,N. T. Rama Rao,"Folklore
",1954,1954
Iddaru Pellalu,"F. Nagoor
","Nagoor Cine Productions
",T. R. Pappa,N. T. Rama Rao,"Drama
",1954,1954
Jatakaphalam,R. Nagendra Rao,R. N. R. Pictures,"R. Sudharsanam
",S. V. Ranga Rao,"Comedy
",1954,1954
Jyothi,K. B. Tilak,"Navayuga Productions
",Pendyala Nageswara Rao,G. Varalakshmi,"Drama
",1954,1954
Kalahasti Mahatyam,"H. L. N. Simha
",AVM Productions,R. Sudharsanam,Rajkumar,"Mythology
",1954,1954
Maa Gopi,B. S. Ranga,Vikram Productions,Viswanathan–Ramamoorthy,V. Nagaiah,"Drama
",1954,1954
Manohara,L. V. Prasad,"Manohar Pictures
",S. V. Venkatraman,Sivaji Ganesan,"Folklore
",1954,1954
Menarikam,"Jampana
","Jampana Nandi Productions
",Pendyala Nageswara Rao,C. H. Narayana Rao,"Drama
",1954,1954
Nirupedalu,T. Prakash Rao,"Gokul Pictures
",T. V. Raju,A. Nageswara Rao,"Drama
",1954,1954
Palle Paduchu,"B. Subba Rao
","Shyamala Pictures
","M. S. Ramarao
",Mukkamala,"Drama
",1954,1954
Parivartana,T. Prakash Rao,"Janata Pictures
",T. Chalapathi Rao,N. T. Rama Rao,"Drama
",1954,1954
Peddamanushulu,K. V. Reddy,Vauhini Studios,Ogirala Ramachandra Rao,"Jandhyala Gaurinatha Sastri, ","Social
",1954,1954
Praja Rajyam,"A. Kasilingam
","Parimalam Pictures
",Viswanathan–Ramamoorthy,K. R. Ramasamy,"Social
",1954,1954
Raji Na Pranam,"K. J. Mahadevan
",Gemini Studios,S. Hanumantha Rao,T. R. Ramachandran,"Romance
",1954,1954
Raju Peda,B. A. Subba Rao,B. A. S. Productions,S. Rajeswara Rao,N. T. Rama Rao,"Folklore
",1954,1954
Raja Guruvu,A. S. A. Sami,"Narasu Studios
",K. N. Dandayudhapani Pillai,K. R. Ramasamy,"Folklore
",1954,1954
Rechukka,P. Pullaiah,"Prathibha Pictures
","Aswathamma
",N. T. Rama Rao,"Action
",1954,1954
Sangham,"M. V. Raman
",AVM Productions,"R. Sudharsanam
",N. T. Rama Rao,"Romance
",1954,1954
Sati Sakkubai,K. B. Nagabhushanam,Sri Raja Rajeswari Films,Ogirala Ramachandra Rao,K. Raghuramaiah,"Comedy
",1954,1954
Todu Dongalu,D. Yoganand,National Art Theatres,T. V. Raju,N. T. Rama Rao,"Social
",1954,1954
Vaddante Dabbu,Y. R. Swamy,Rohini Pictures,"T. A. Kalyanam
",N. T. Rama Rao,"Comedy
",1954,1954
Vipra Narayana,P. S. Ramakrishna Rao,Bharani Studios,S. Rajeswara Rao,A. Nageswara Rao,"Devotional
",1954,1954
Batasari,P. S. Ramakrishna Rao,,Master Venu,A. Nageswara Rao,Romance,1961,1961
Bava Maradallu,P. A. Padmanabha Rao,,Pendyala Nageswara Rao,J. V. Ramana Murthy,Romance,1961,1961
Bhakta Jayadeva,P. Rama Rao,,S. Rajeswara Rao,A. Nageswara Rao,Biography,1961,1961
Bharya Bhartalu,Kotayya Pratyagatma,,S. Rajeswara Rao,Akkineni Nageshwara Rao,Drama,1961,1961
Bikari Ramudu,P. Padmaraju,,B. Gopalam,Kanta Rao,Folklore,1961,1961
Evaru Donga,M. A. Thirumugam,,K. V. Mahadevan,Udaykumar,Drama,1961,1961
Gullo Pelli,K. S. Prakash Rao,,,Balayya,Drama,1961,1961
Iddaru Mitrulu,A. Subbarao,,S. Rajeswara Rao,A. Nageswara Rao,Drama,1961,1961
Indrajeet (Sati Sulochana),S. Rajinikanth,,,N. T. Rama Rao,,1961,1961
Intiki Deepam Illale,V. N. Reddy,,Viswanathan–Ramamoorthy,N. T. Rama Rao,Drama,1961,1961
Jagadeka Veeruni Katha,K. V. Reddy,,Pendyala Nageswara Rao,N. T. Rama Rao,Folklore,1961,1961
Jebu Donga,P. Neelakantan,,S. M. Subbaiah Naidu,M. G. Ramachandran,Drama,1961,1961
Kalasi Vunte Kaladu Sukham,Tapi Chanakya,,Master Venu,N. T. Rama Rao,Drama,1961,1961
Kanna Koduku,Krishna Rao,,S. P. Kodandapani,Jaggayya,Drama,1961,1961
Kannyaka Parameswari Mahatmyam,A. S. A. Sami,,R. Sudarsanam,Sivaji Ganesan,,1961,1961
Korada Veerudu,M. Radhakrishnan,,G. Ramanathan &  J. Purushotham,"P. S. Veerappa, Showkar Janaki, V. B. S. Mani, Tambaram Lalita, T. K. Ramachandran, Vanaja, T. S. Balaiah, Krishnabai",Fantasy,1961,1961
Krishna Kuchela,P. Subramaniam,,Brother Lakshmanan,Kanta Rao,Mythology,1961,1961
Krishna Prema,A. Subbarao,,Pendyala Nageswara Rao,Balayya,Devotional,1961,1961
Pelli Kaani Pillalu,C. S. Rao,,Master Venu,Jaggayya,Drama,1961,1961
Pendli Pilupu,A. V. Seshagiri Rao,,K. Prasad Rao,N. T. Rama Rao,Drama,1961,1961
Rushyasrunga,Mukkamala,,T. V. Raju,Haranath,Folklore,1961,1961
Sabhash Raja,P. S. Ramakrishna Rao,,Ghantasala,A. Nageswara Rao,Drama,1961,1961
Santha,Manapuram Appa Rao,,,N. T. Rama Rao,,1961,1961
Sati Sulochana,Rajanikanth Sabnavis,,T. V. Raju,N. T. Rama Rao,Historical,1961,1961
Seetharama Kalyanam,N. T. Rama Rao,,Gali Penchala,N. T. Rama Rao,Historical,1961,1961
Shanta,Manapuram Apparao,,,N. T. Rama Rao,Drama,1961,1961
Taxi Ramudu,V. Madhusudhan Rao,,T. V. Raju,N. T. Rama Rao,Drama,1961,1961
Thandrulu Kodukulu,K. Hemabharadara Rao,,T. Chalapathi Rao,Chalam,Drama,1961,1961
Usha Parinayam,K. B. Nagabhushanam,,S. Hanumantha Rao,Kanta Rao,Devotional,1961,1961
Vagdanam,Aatreya,,Pendyala Nageswara Rao,A. Nageswara Rao,Drama,1961,1961
Varalakshmi Vratham,B. Vittalacharya,,Rajan-Nagendra,Kanta Rao,Devotional,1961,1961
Velugu Needalu,Adurthi Subba Rao,,,Akkineni Nageshwara Rao,Drama,1961,1961
Aathma Balam,V. Madhusudan Rao,,,Akkineni Nageswara Rao,Drama,1964,1964
Amara Shilpi Jakkanna,B. S. Ranga,,,Akkineni Nageswara Rao,Biographical film,1964,1964
Babruvahana,Samudrala Raghavacharya,,,N. T. Rama Rao,Mythological Drama,1964,1964
Bangaru Thimmaraju,G.Viswanadham,,,Tadepalli Lakshmi Kanta Rao,,1964,1964
Bobbili Yuddham,C. Seetaram,,,N. T. Rama Rao,Historical period drama,1964,1964
Dagudu Moothalu,Adurthi Subba Rao,,,N. T. Rama Rao,Comedy Drama,1964,1964
Desa Drohulu,Bolla Subba Rao,,,N. T. Rama Rao,Drama,1964,1964
Doctor Chakravarty,Adurthi Subba Rao,,,Akkineni Nageswara Rao,Drama,1964,1964
Kalavari Kodalu,K. Hemambaradhara Rao,,,N. T. Rama Rao,,1964,1964
Manchi Manishi,Kotayya Pratyagatma,,,N. T. Rama Rao,Drama,1964,1964
Marmayogi,B. A. Subba Rao,,,N. T. Rama Rao,,1964,1964
Mooga Manasulu,Adurthi Subba Rao,,,Akkineni Nageswara Rao,,1964,1964
Murali Krishna,P. Pullaiah,,,Akkineni Nageswara Rao,Drama,1964,1964
Pativrata,Chitrapu Narayana Rao,,,,,1964,1964
Pooja Phalam,B. N. Reddi,,,Akkineni Nageswara Rao,Drama,1964,1964
Peetala Meeda Pelli,Ghantasala Krishnamurthy,,,Jaggayya,Drama,1964,1964
